Seitenname,Target.ID
CDU Stadt Hannover,10150139727730045
CDU Fraktion Hannover,129630217114314
SPD Stadt Hannover,602583966540784
SPD Fraktion Hannover,181934788601360
Grüne Stadt Hannover,387862064617610
Grüne Fraktion Hannover,310689635707229
Grüne Kandidat Hannover,310689635707229
FDP Stadt Hannover,193726187851056
AfD Stadt Hannover,818732621553521
AfD Fraktion Hannover,551397591563704
Volt Stadt Hannover,110690476948986
Linke Stadt Hannover,121750731257078
Linke Fraktion Hannover,313525095645745
Piraten Stadt Hannover,110709259021074
Die Hannoveraner Stadt Hannover,205238256155328
Die PARTEI Stadt Hannover,1649281275313319
Freie Wähler Stadt Hannover,623943594483282
CDU Stadt Braunschweig,189360127747363
CDU Fraktion Braunschweig,316693785076772
SPD Stadt Braunschweig,363372200360766
SPD Fraktion Braunschweig,547234525433157
SPD Kandidat Braunschweig,115576570572503
Grüne Stadt Braunschweig,146549822054455
FDP Stadt Braunschweig,180808891955376
AfD Fraktion Braunschweig,987047301436707
Volt Stadt Braunschweig,105282747495737
Linke Stadt Braunschweig,477786932246675
BIBS Stadt Braunschweig,100087221528026
Die PARTEI Stadt Braunschweig,595104833929742




