"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"CDU Stadt Hannover",1815,"2026-07-13",1810,"2026-07-06",5,0.28,"+5"
"CDU Fraktion Hannover",832,"2026-07-13",832,"2026-07-06",0,0,"0"
"SPD Stadt Hannover",3278,"2026-07-13",3277,"2026-07-06",1,0.03,"+1"
"SPD Fraktion Hannover",2738,"2026-07-13",2739,"2026-07-06",-1,-0.04,"-1"
"Grüne Stadt Hannover",3730,"2026-07-13",3726,"2026-07-06",4,0.11,"+4"
"Grüne Fraktion Hannover",1332,"2026-07-13",1329,"2026-07-06",3,0.23,"+3"
"Grüne Kandidat Hannover",1332,"2026-07-13",1329,"2026-07-06",3,0.23,"+3"
"FDP Stadt Hannover",744,"2026-07-13",744,"2026-07-06",0,0,"0"
"AfD Stadt Hannover",9309,"2026-07-13",9259,"2026-07-06",50,0.54,"+50"
"AfD Fraktion Hannover",3662,"2026-07-13",3661,"2026-07-06",1,0.03,"+1"
"Volt Stadt Hannover",543,"2026-07-13",542,"2026-07-06",1,0.18,"+1"
"Linke Stadt Hannover",1240,"2026-07-13",1196,"2026-07-06",44,3.68,"+44"
"Linke Fraktion Hannover",818,"2026-07-13",816,"2026-07-06",2,0.25,"+2"
"Piraten Stadt Hannover",520,"2026-07-13",520,"2026-07-06",0,0,"0"
"Die Hannoveraner Stadt Hannover",1223,"2026-07-13",1218,"2026-07-06",5,0.41,"+5"
"Die PARTEI Stadt Hannover",5573,"2026-07-13",5576,"2026-07-06",-3,-0.05,"-3"
"Freie Wähler Stadt Hannover",189,"2026-07-13",189,"2026-07-06",0,0,"0"
"CDU Stadt Braunschweig",1068,"2026-07-13",1067,"2026-07-06",1,0.09,"+1"
"CDU Fraktion Braunschweig",1316,"2026-07-13",1312,"2026-07-06",4,0.3,"+4"
"SPD Stadt Braunschweig",1629,"2026-07-13",1630,"2026-07-06",-1,-0.06,"-1"
"SPD Fraktion Braunschweig",665,"2026-07-13",666,"2026-07-06",-1,-0.15,"-1"
"SPD Kandidat Braunschweig",1076,"2026-07-13",1075,"2026-07-06",1,0.09,"+1"
"Grüne Stadt Braunschweig",1079,"2026-07-13",1073,"2026-07-06",6,0.56,"+6"
"FDP Stadt Braunschweig",861,"2026-07-13",861,"2026-07-06",0,0,"0"
"AfD Fraktion Braunschweig",3184,"2026-07-13",3187,"2026-07-06",-3,-0.09,"-3"
"Volt Stadt Braunschweig",519,"2026-07-13",518,"2026-07-06",1,0.19,"+1"
"Linke Stadt Braunschweig",1210,"2026-07-13",1209,"2026-07-06",1,0.08,"+1"
"BIBS Stadt Braunschweig",NA,"2026-07-13",NA,"2026-07-06",NA,100,"0"
"Die PARTEI Stadt Braunschweig",2458,"2026-07-13",2459,"2026-07-06",-1,-0.04,"-1"
