"Seitenname","Likes","Datum"
"CDU Stadt Hannover",1788,"2026-05-11"
"CDU Fraktion Hannover",818,"2026-05-11"
"SPD Stadt Hannover",3285,"2026-05-11"
"SPD Fraktion Hannover",2704,"2026-05-11"
"Grüne Stadt Hannover",3709,"2026-05-11"
"Grüne Fraktion Hannover",1305,"2026-05-11"
"Grüne Kandidat Hannover",1305,"2026-05-11"
"FDP Stadt Hannover",743,"2026-05-11"
"AfD Stadt Hannover",9199,"2026-05-11"
"AfD Fraktion Hannover",3602,"2026-05-11"
"Volt Stadt Hannover",532,"2026-05-11"
"Linke Stadt Hannover",1191,"2026-05-11"
"Linke Fraktion Hannover",806,"2026-05-11"
"Piraten Stadt Hannover",519,"2026-05-11"
"Die Hannoveraner Stadt Hannover",1191,"2026-05-11"
"Die PARTEI Stadt Hannover",5585,"2026-05-11"
"Freie Wähler Stadt Hannover",189,"2026-05-11"
"CDU Stadt Braunschweig",1066,"2026-05-11"
"CDU Fraktion Braunschweig",1299,"2026-05-11"
"SPD Stadt Braunschweig",1608,"2026-05-11"
"SPD Fraktion Braunschweig",664,"2026-05-11"
"SPD Kandidat Braunschweig",1075,"2026-05-11"
"Grüne Stadt Braunschweig",1050,"2026-05-11"
"FDP Stadt Braunschweig",864,"2026-05-11"
"AfD Fraktion Braunschweig",3173,"2026-05-11"
"Volt Stadt Braunschweig",517,"2026-05-11"
"Linke Stadt Braunschweig",1194,"2026-05-11"
"BIBS Stadt Braunschweig",NA,"2026-05-11"
"Die PARTEI Stadt Braunschweig",2464,"2026-05-11"
